"","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","TS%","eFG%","Total S%","ORB%","DRB%","TRB%","AST%","TOV%","STL%","BLK%","PPS","FIC40","ORtg","DRtg","eDiff","Poss","Pace","HOB","Ast/TO","Stl/TO","FT/FGA","W's","L's","Win %","Conference","State","TER","Cluster"
"59","UCLA",35,40.7,75.4,27.6,61.4,0.45,6.8,19.2,0.353,13.4,18.1,0.741,10.6,24.6,35.3,13.9,7,3.3,8.9,15.8,0.539,0.505,154.4,30.5,76,52.4,50.3,11.3,10.2,9.6,1.2,58,110.3,94.3,16,2393.5,67.2,1.503,1.6,0.8,0.218,27,8,0.771,"Pac-12","CA",1.35928267143054,4
"60","Cleveland State",31,40.8,75.4,27.5,57.5,0.478,6.4,19.4,0.327,14,20.8,0.671,10.5,23.5,34,16.5,8.6,3.4,13.5,18.3,0.559,0.534,147.7,33.1,69.6,51.9,60.1,16.7,12.2,10.4,1.3,57.3,106.6,98.9,7.7,2191.6,69.4,1.601,1.2,0.6,0.243,20,11,0.645,"Horizon","OH",1.2165238464488,4
"61","UNC Asheville",32,40.9,75.3,26,56.8,0.457,8.2,22.6,0.363,15.2,20.9,0.726,8.7,23.7,32.4,12.7,6.5,4.9,12.2,15.8,0.565,0.53,154.7,26.9,68.2,48.2,49,15.4,9.3,12.1,1.3,54.2,107.6,98.2,9.3,2240.3,68.4,1.49,1,0.5,0.267,17,15,0.531,"Big South","NC",0.496781437165859,4
"62","Miami (OH)",32,40.3,75.3,27.2,61.9,0.439,9.1,26.4,0.346,11.8,14.9,0.787,9.3,24.2,33.5,13.8,5.5,3.2,10.4,16,0.546,0.513,157.2,26.6,71.5,48.6,50.6,13.1,7.9,9.1,1.2,54.4,107.5,104.9,2.5,2240.6,69.5,1.506,1.3,0.5,0.19,14,18,0.438,"MAC","OH",-0.0802021471353436,2
"63","Louisiana Tech",34,40,75.2,26.8,58.9,0.455,8.3,24.3,0.34,13.4,18.5,0.725,8.9,26.5,35.4,13.7,6.5,2.1,11.5,14.6,0.556,0.525,152,26.1,73.6,50.5,51,14.6,9.2,6,1.3,56.4,106.7,96.4,10.3,2397.5,70.5,1.51,1.2,0.6,0.227,24,10,0.706,"C-USA","LA",0.764454234006625,4
"64","Winthrop",32,40.4,75.2,26.3,54.2,0.486,8.6,23.2,0.371,14,20,0.7,7.8,25.1,32.8,13.4,6.5,2.6,14.5,17.9,0.591,0.565,155.7,26.4,74.6,52.2,50.8,18.6,9.1,7.7,1.4,52.1,106.6,99.4,7.1,2258.8,69.9,1.508,0.9,0.4,0.258,23,9,0.719,"Big South","SC",0.693074821515751,4
"65","Iona",33,40.3,75.2,26.4,59.2,0.447,7.1,21.3,0.332,15.3,22,0.693,10.8,25.1,35.8,16.1,6.5,6,12.7,18.2,0.54,0.507,147.2,30.8,70.9,50.9,61,15.4,9.2,15.3,1.3,58.6,105.5,96.2,9.3,2353.5,70.8,1.61,1.3,0.5,0.258,25,8,0.758,"MAAC","NY",0.603850555902165,4
"66","Memphis",33,39.9,75.2,26.9,57.4,0.469,6.2,17.5,0.355,15.1,21.7,0.694,11.7,25.2,36.9,15.8,8.4,5.5,15.9,18.8,0.555,0.523,151.9,36.5,69.2,53.9,58.7,19.1,11.8,16.2,1.3,59.1,104.9,95.4,9.5,2364.5,71.8,1.587,1,0.5,0.262,22,11,0.667,"AAC","TN",1.16893757145489,3
"67","South Dakota",31,40.3,75.1,26.7,57.4,0.466,7.1,19.1,0.374,14.5,19.4,0.75,8.6,24.7,33.3,11.9,4.4,2.3,10,17.6,0.564,0.528,159,27,78.9,52.8,44.6,13,6.4,6.6,1.3,51.4,110,103.9,6.2,2116.4,67.7,1.446,1.2,0.4,0.253,19,12,0.613,"Summit","SD",0.615747124650644,2
"68","James Madison",29,40.5,75.1,27.7,59.9,0.463,7.4,21.5,0.345,12.2,17.6,0.697,8.8,23.2,32,13.3,8.5,2.1,12.4,16.4,0.55,0.525,150.5,26.1,68.7,47.5,48,15.4,11.9,6.5,1.3,52.5,104.6,102,2.6,2082.2,70.9,1.48,1.1,0.7,0.204,15,14,0.517,"CAA","VA",0.175574080956942,2
"69","Morgan State",28,40.2,75,27.5,63,0.437,6.1,19.6,0.313,13.8,20.4,0.677,11.2,24,35.1,14.8,8.5,3.4,15.4,19.7,0.516,0.486,142.8,30.6,71.9,50.3,53.7,17.5,11,9.9,1.2,50.5,97.7,94.2,3.5,2149.8,76.5,1.537,1,0.5,0.219,13,15,0.464,"MEAC","MD",-1.03192764701361,3
"70","Middle Tennessee State",37,40.8,74.9,26,57.8,0.45,8.2,24.7,0.33,14.7,19.4,0.756,9.4,24.4,33.8,12.4,8,4.2,12.9,18.4,0.558,0.521,153.7,29.3,72.3,51.3,47.8,16.1,11.3,12,1.3,53.4,106.3,95.3,10.9,2607.9,69.1,1.478,1,0.6,0.254,26,11,0.703,"C-USA","TN",1.06186845271859,4
"71","Houston",38,40.3,74.8,27.7,59.7,0.465,7.8,23.2,0.338,11.5,17.3,0.667,12.7,24.8,37.5,16.2,8,5.2,11.2,17.2,0.551,0.531,147,37.2,73.3,55.1,58.5,14.1,12,17.1,1.3,64.2,112.6,88.4,24.2,2525.8,66,1.585,1.5,0.7,0.193,32,6,0.842,"AAC","TX",2.48350841816174,4
"72","Long Island",30,40.3,74.8,27.1,63.2,0.428,7.9,25.3,0.314,12.8,18.8,0.68,11.3,26.8,38,16.9,7.7,4.9,13.6,16.9,0.519,0.491,142.2,30.2,71.5,50.9,62.6,15.9,10.3,13.4,1.2,58.7,100.3,98.5,1.8,2238,74,1.626,1.2,0.6,0.202,16,14,0.533,"NEC","NY",0.0328152559751996,3
"73","Vermont",34,40.1,74.8,27.5,55.9,0.492,8.8,24,0.365,11,14.8,0.742,6.8,27,33.8,15.1,5.1,2.5,9.6,14,0.594,0.57,159.9,23.4,82,54.6,55,13.2,7.7,7.2,1.3,60.3,113.6,92.2,21.4,2238.6,65.6,1.55,1.6,0.5,0.197,28,6,0.824,"AM East","VT",1.73997287138185,4
"74","North Dakota State",33,40.6,74.8,26.3,56.9,0.462,7.6,21.2,0.358,14.7,19.3,0.761,8.1,28.5,36.6,11.1,3.9,3.5,11.6,15.6,0.566,0.528,158.1,25.3,78.4,53.6,42.3,15,5.6,8.4,1.3,52.7,107.6,98.8,8.8,2294.6,68.5,1.423,1,0.3,0.258,23,10,0.697,"Summit","ND",0.681178252767274,4
"75","Connecticut",33,40.7,74.8,26.7,61.2,0.435,7.4,21.1,0.352,14.1,18.7,0.753,12.9,25.8,38.7,14,5.9,6.4,11.8,16.8,0.534,0.496,154,37,73.4,55.2,52.6,14.4,8.6,16.6,1.2,59.4,108.6,94.8,13.8,2274,67.8,1.526,1.2,0.5,0.23,23,10,0.697,"Big East","CT",1.17488585582912,4
"76","Kennesaw State",31,40.5,74.8,27.4,59.2,0.463,8.3,22.8,0.365,11.6,17.6,0.662,10.3,24.4,34.6,14.4,7.1,2.8,12.4,17.1,0.553,0.533,149.1,30.6,73.8,52.1,52.5,15.5,10.2,8.3,1.3,55,107,101.7,5.2,2168.2,69,1.525,1.2,0.6,0.197,13,18,0.419,"A-Sun","GA",0.776350802755096,2
"77","Seattle",32,40,74.8,25.9,62.2,0.417,9.7,28.4,0.34,13.3,17.4,0.766,9.3,26.7,36,13.6,6.9,3.6,11.6,20.5,0.531,0.494,152.3,25.5,75.5,50.1,52.6,14.1,9.5,10.1,1.2,53.2,102.8,91.6,11.2,2328.3,72.7,1.526,1.2,0.6,0.214,23,9,0.719,"WAC","WA",0.38376403405531,4
"78","St. Thomas (MN)",30,40,74.7,26.7,60.5,0.441,11.1,31.2,0.357,10.2,13.5,0.758,7,21.8,28.8,12.6,5.2,1.3,8.1,17,0.558,0.533,155.6,20.7,74.1,45.6,47.1,10.8,7.7,3.8,1.2,50,110.5,111.5,-0.9,2027.5,67.6,1.471,1.6,0.6,0.169,10,20,0.333,"Summit","MN",-0.252702393988277,2
"79","Samford",32,40.3,74.7,26.8,60,0.446,8.8,26.1,0.336,12.4,17,0.73,10.3,24.3,34.6,12.8,7.4,2.9,13.8,17.6,0.548,0.519,151.2,30.5,71.9,51.2,48,16.8,10.4,9.2,1.2,52.1,104.5,103.3,1.2,2286.9,71,1.48,0.9,0.5,0.207,21,11,0.656,"SoCon","AL",0.163677512208466,2
"80","UMKC",31,40.1,74.5,27.6,57.7,0.478,7.3,19.8,0.366,12.1,17.9,0.676,7.5,23.1,30.5,13.3,7.4,2.8,10.5,20.2,0.563,0.541,152,23.2,75.9,48.7,48.2,13.7,10.6,8.3,1.3,52.1,107.1,96.6,10.5,2157.7,69.3,1.482,1.3,0.7,0.21,19,12,0.613,"Summit","MO",0.883419921491403,4
"81","Stephen F. Austin",32,40.2,74.5,27.4,57.8,0.474,5.9,17.9,0.33,13.8,20.4,0.678,10.9,23.1,33.9,15,9.1,4.1,16.4,19.7,0.552,0.525,148.3,34,69.5,52.1,54.8,19.6,12.5,11.9,1.3,53.4,102.4,94,8.4,2329.5,72.5,1.548,0.9,0.6,0.239,22,10,0.688,"WAC","TX",0.312384621564447,3
"82","Northern Iowa",32,40.8,74.5,25.7,56,0.459,8.7,24.4,0.355,14.3,18.2,0.789,6.2,24.9,31.1,11.8,5.8,1.4,11.1,13.9,0.576,0.537,160.3,20.2,78.9,50.1,45.8,14.7,8.3,4.8,1.3,50.4,107.2,102.3,4.9,2222.8,68.1,1.458,1.1,0.5,0.256,20,12,0.625,"MVC","IA",0.175574080956942,2
"83","Wagner",27,40.7,74.4,27.7,59.7,0.463,5.1,17.9,0.285,14,19.3,0.726,11.3,25,36.4,14.6,8.4,2.8,12.4,19.8,0.54,0.506,147.4,33.8,73.6,53.8,52.6,15.3,12,8.7,1.2,54.9,106.6,92.6,13.9,1885.7,68.6,1.526,1.2,0.7,0.234,21,6,0.778,"NEC","NY",1.44850693704413,4
"84","Illinois",33,40.3,74.4,26.2,58.3,0.448,8.9,24.9,0.359,13.2,18.7,0.706,10.9,26.3,37.2,15.2,5.2,3,12.3,16.3,0.554,0.525,151.4,32.7,73.8,54,58.1,15.4,7.5,7.1,1.3,56.9,108,97.6,10.5,2273.3,68.4,1.581,1.2,0.4,0.226,23,10,0.697,"Big Ten","IL",0.883419921491409,4
"85","Oakland",32,40.1,74.4,25.8,58.6,0.439,7.3,24.3,0.302,15.6,19.6,0.794,10.3,23.4,33.7,13.4,9,2.4,12.3,13.7,0.548,0.502,153.6,31,67.5,49.6,51.9,15.3,12.9,6.9,1.3,56.5,106.5,98.2,8.4,2234.7,69.6,1.519,1.1,0.7,0.265,20,12,0.625,"Horizon","MI",0.931006196485317,4
"86","Ball State",31,40.1,74.3,25.4,57.5,0.442,8.5,23.7,0.361,14.9,21.5,0.694,9.3,26,35.2,13.2,6.1,2.4,14,17.9,0.549,0.516,149.7,26.8,73.3,50.4,51.8,17.1,8.4,7,1.3,50.4,102.6,106,-3.4,2245.1,72.2,1.518,0.9,0.4,0.26,14,17,0.452,"MAC","IN",-0.0504607252641481,2
"87","Norfolk State",31,40,74.3,26.3,57,0.461,7,20.3,0.343,14.8,21.1,0.699,9.9,27.8,37.7,12.5,6.7,3.6,14,17.6,0.554,0.522,150.4,30.3,73.7,53.6,47.4,17.3,9.4,11.2,1.3,54.2,104.3,90.5,13.8,2207.6,71.2,1.474,0.9,0.5,0.259,24,7,0.774,"MEAC","VA",1.08566159021554,3
"88","Brigham Young",35,40.2,74.3,27.4,60,0.457,8,22.7,0.353,11.4,15.9,0.718,9.9,27.7,37.6,14.6,4.8,3.2,12.6,17.7,0.549,0.524,152.8,29.6,77.7,54.4,53.3,15.7,6.9,8.6,1.2,54.9,105.8,97.4,8.4,2455.4,69.8,1.533,1.2,0.4,0.19,24,11,0.686,"WCC","UT",0.413505455926509,4
"89","New Mexico",32,40.2,74.3,26.1,60,0.434,7.8,22.6,0.344,14.3,19.1,0.75,8,24.6,32.6,11.8,6.3,4.3,11.7,18.3,0.537,0.499,152.8,22.9,72.1,47.2,45.1,14.5,8.6,11.2,1.2,49.7,102.3,103.8,-1.5,2323.5,72.2,1.451,1,0.5,0.239,13,19,0.406,"MWC","NM",-0.425202640841215,2
"90","Portland",34,40.1,74.2,25.2,57.7,0.437,7.8,22.2,0.35,16,20.2,0.791,8.2,27.4,35.5,14.3,5.1,2.5,13.3,16.4,0.551,0.504,157.8,24.4,74.5,50.6,56.8,16.5,7,6.8,1.3,52.4,102.3,99.4,2.8,2467.7,72.5,1.568,1.1,0.4,0.277,19,15,0.559,"WCC","OR",-0.234857540865565,3
"91","Chattanooga",35,40.3,74.2,27.3,58.8,0.464,7.9,22.9,0.345,11.7,15.6,0.746,9.8,24.6,34.4,12.8,7.2,2.1,10.9,15.6,0.56,0.531,155.5,31.5,74.2,53.5,47,14.2,10.8,6.4,1.3,55.5,110.5,95.9,14.6,2349.7,66.6,1.47,1.2,0.7,0.198,27,8,0.771,"SoCon","TN",1.35928267143055,4
"92","Illinois State",33,41.1,74.2,26.3,58.4,0.451,7.8,21.4,0.367,13.6,18.3,0.745,9.1,24.8,33.8,12.3,6.8,4.7,13.8,17.4,0.553,0.518,156.4,27.7,71.7,50.2,46.7,17.1,9.5,12.5,1.3,51.2,103.4,104.2,-0.8,2366.3,69.8,1.467,0.9,0.5,0.234,13,20,0.394,"MVC","IL",0.0625566778464002,2
"93","Rice",33,40.6,74.1,26.3,57.3,0.459,9,24.3,0.37,12.5,17.5,0.715,8.3,26.2,34.5,15.5,5.1,1.8,12.5,13.9,0.564,0.537,154.3,25.9,73.3,50.8,59.1,16,7.3,4.5,1.3,54.7,106,104.9,1.1,2308.5,69,1.591,1.2,0.4,0.218,16,17,0.485,"C-USA","TX",0.0566083934721605,2
"94","Xavier",36,40.5,74.1,26.5,58.7,0.451,6.7,20.9,0.322,14.4,20.7,0.698,9.7,26.2,35.9,14.8,7.5,4.3,11.7,15.4,0.541,0.509,147.1,28.5,74.7,51.9,55.9,14.6,10.5,11.4,1.3,58.2,104.9,98,6.9,2544,69.7,1.559,1.3,0.6,0.246,23,13,0.639,"Big East","OH",1.05592016834434,4
"95","Florida Atlantic",34,40.1,74.1,26.7,58.9,0.453,8.8,25,0.352,11.9,16.8,0.712,10.3,24.8,35.1,13.4,7.4,2.9,12.9,16.9,0.554,0.527,151.7,30.9,75.7,53.1,50.1,16.1,10.6,7.8,1.3,54.6,106.6,98,8.6,2362.6,69.3,1.501,1,0.6,0.203,19,15,0.559,"C-USA","FL",0.871523352742928,4
"96","Marquette",32,40.3,74,26.9,59.8,0.45,8.6,25,0.344,11.6,15.7,0.741,7.1,26.3,33.5,16,7.8,5.2,12.3,17.4,0.55,0.521,153.4,21.3,69.2,46.8,59.3,15.5,10.6,12.9,1.2,57.6,101.7,98.4,3.3,2329.6,72.3,1.593,1.3,0.6,0.194,19,13,0.594,"Big East","WI",0.401608887178033,3
"97","Ohio",35,40,74,25.7,59.5,0.431,9,26.9,0.335,13.7,18.8,0.729,9.4,23.6,33,12.6,7.5,2.6,10.5,14.4,0.541,0.507,149.5,26.3,75,49.1,49.1,13.3,10.8,7.4,1.2,54.5,106.4,97.7,8.7,2434.8,69.6,1.491,1.2,0.7,0.23,25,10,0.714,"MAC","OH",0.520574574662817,4
"98","Lipscomb",33,40,74,25.8,56.4,0.457,8.1,23.5,0.344,14.4,19.8,0.729,6.8,27.5,34.4,15.2,4.4,2.7,13.2,13.5,0.563,0.529,153,21.7,72.9,49.6,59.1,16.8,6.1,7,1.3,54.3,102.7,106.6,-4,2378.8,72.2,1.591,1.1,0.3,0.255,14,19,0.424,"A-Sun","TN",-0.609599456442628,2
"99","Marshall",33,40,74,27.8,63.8,0.436,7.6,25.2,0.301,10.7,15.2,0.705,10,25.2,35.3,14.3,6.8,4.8,13.1,15.5,0.521,0.495,144.3,26.9,72.6,48.9,51.3,15.6,9.1,11.9,1.2,54.4,99.9,103.2,-3.3,2445,74.1,1.513,1.1,0.5,0.168,12,21,0.364,"C-USA","WV",-0.972444803271218,2
"100","Miami (FL)",37,40.1,73.9,27.3,57.7,0.473,6.9,20.5,0.339,12.4,16.6,0.742,6.8,22.5,29.4,14.1,8.9,3.2,9.5,14.9,0.563,0.533,155.4,21.6,70.5,46.2,51.7,12.6,12.8,9,1.3,57.3,107.7,102.5,5.2,2540.2,68.5,1.517,1.5,0.9,0.214,26,11,0.703,"ACC","FL",1.13919614958369,2
"101","Drake",36,40.8,73.9,27.2,59.1,0.46,7,20.4,0.344,12.5,16.5,0.755,9.6,24.1,33.7,11.9,7,3.2,10.7,17,0.552,0.52,155.9,29.4,75.3,52.1,43.6,13.8,10.3,9.5,1.3,52.9,108.6,97.6,11,2450.1,66.7,1.436,1.1,0.7,0.211,25,11,0.694,"MVC","IA",1.0499718839701,4
"102","Long Beach State",33,40.3,73.8,25.5,58.4,0.437,6.5,18.6,0.346,16.4,22.5,0.729,9.4,24.8,34.2,12.5,7,3.1,13.2,16.4,0.535,0.492,151.2,27.4,74,50.4,48.9,16.1,9.6,8.6,1.3,50.3,101.3,100.1,1.2,2406,72.3,1.489,0.9,0.5,0.281,20,13,0.606,"Big West","CA",-0.270547247110995,3
"103","Northwestern State",32,40,73.8,28,62.9,0.445,7.3,21.3,0.342,10.6,15.3,0.694,10.9,24,34.9,15,6.3,3.5,14.3,16.9,0.526,0.503,148.1,29.4,68.5,48.4,53.7,16.9,8.5,8.6,1.2,52,99.9,108.8,-8.9,2365.5,73.9,1.537,1.1,0.4,0.169,9,23,0.281,"Southland","LA",-1.26391073760894,1
"104","Southern Methodist",33,40,73.8,25.1,56.9,0.44,8.5,24,0.354,15.2,20.3,0.75,8.8,27.5,36.3,13.8,6.3,4.3,12.3,15.2,0.555,0.515,154.4,26.6,70.6,50.4,55.3,15.6,8.9,10.4,1.3,57.4,104.8,95.3,9.5,2325.3,70.4,1.553,1.1,0.5,0.267,24,9,0.727,"AAC","TX",1.02617874647315,4
"105","UC Santa Barbara",28,40.9,73.8,27,54.5,0.494,5.4,16.4,0.332,14.4,20.4,0.708,8.9,25.4,34.3,15.6,6.3,2.9,13.2,17.3,0.574,0.544,153.4,29.6,75,53.7,58,17.1,9.1,7.7,1.4,55,107.3,95.6,11.7,1924.8,67.3,1.58,1.2,0.5,0.265,17,11,0.607,"Big West","CA",1.12729958083521,4
"106","UMBC",32,40.1,73.7,25.4,57.3,0.444,9.2,24.3,0.378,13.7,17.5,0.784,7.2,25.1,32.3,12.4,4.8,2.1,11,13.3,0.562,0.524,160.6,21.8,73.5,48.1,48.7,14.3,6.8,5.3,1.3,51.6,106,103.6,2.3,2226.5,69.3,1.487,1.1,0.4,0.24,18,14,0.563,"AM East","MD",-0.258650678362513,2
"107","Portland State",31,40.3,73.5,26.5,61.5,0.43,6.2,20.6,0.298,14.5,19.5,0.742,9.6,23.2,32.9,11.4,9.3,3.3,12.4,19.8,0.52,0.481,147.1,26.5,69,46.9,42.9,14.9,12.8,9.4,1.2,48.5,100.4,98.5,1.9,2270.3,72.6,1.429,0.9,0.8,0.236,14,17,0.452,"Big Sky","OR",-0.0623572940126253,3
"108","Jacksonville State",32,40.4,73.5,26.2,56.1,0.467,9.3,24,0.386,11.9,17.3,0.686,9.3,26.3,35.5,14.3,6.2,2.9,13.1,14.3,0.571,0.549,153.9,29.2,74.2,53,54.7,16.9,9.1,8.8,1.3,56.5,107.8,98.5,9.3,2182.7,67.5,1.547,1.1,0.5,0.212,21,11,0.656,"A-Sun","AL",1.0499718839701,4
"109","Tennessee",35,40.2,73.5,26.1,60.2,0.434,8.7,24.2,0.36,12.5,17.4,0.715,11.2,24.9,36.1,16.5,9.3,4.3,12.3,16.9,0.536,0.507,150.9,32.4,74.2,53,63,15.2,13.3,12.9,1.2,60.7,105.3,90.2,15.1,2442.4,69.5,1.63,1.3,0.8,0.207,27,8,0.771,"SEC","TN",1.54962777140619,4
"110","Fort Wayne",33,40.6,73.5,26.2,57.2,0.458,9.4,25.4,0.371,11.7,15.6,0.748,6.8,22.7,29.4,14.1,8.8,2.5,13.5,15.2,0.568,0.54,157.6,21.7,74.2,47.7,53.8,17.3,12.4,7.4,1.3,51.9,103.3,97.9,5.4,2347.2,70.1,1.538,1,0.6,0.204,21,12,0.636,"Horizon","IN",-0.0742538627611056,4
"111","Utah State",34,40.5,73.4,27,56.6,0.476,7.8,22.8,0.342,11.7,16.2,0.721,7.9,26.2,34.1,17.9,6.1,2.1,12.5,16.5,0.571,0.545,153.9,25.6,78,52.9,66.4,16.2,9,6.2,1.3,57.1,106.9,97.3,9.6,2336,67.8,1.664,1.4,0.5,0.207,18,16,0.529,"MWC","UT",0.722816243386947,4
"112","Colorado State",31,40.3,73.4,26.5,55.2,0.48,7.8,21.8,0.357,12.6,16.4,0.773,6.5,24.5,31.1,14.3,6.4,3.1,10.1,15.1,0.583,0.551,161,22,75.5,49.9,53.8,13.8,9.5,9.8,1.3,56.5,110,99,11,2068.7,66.2,1.538,1.4,0.6,0.229,25,6,0.806,"MWC","CO",1.23436869957152,4
"113","Delaware",35,40.2,73.4,26,55.4,0.469,7.5,21.5,0.347,14,18.8,0.744,8.2,23.2,31.4,12.6,6.7,3.7,12.6,15.6,0.57,0.536,156,26.8,70.1,49.3,48.4,16.3,9.6,9.8,1.3,52.6,106.5,101.9,4.6,2411.1,68.5,1.484,1,0.5,0.252,22,13,0.629,"CAA","DE",0.455143446546187,2
"114","Liberty",33,40.3,73.4,25.8,54.6,0.473,10.3,27,0.382,11.5,15.2,0.756,6.6,26.5,33.1,14.7,5.4,1.9,11.6,15,0.594,0.567,161.1,22.3,79.3,52.5,57.1,15.8,8,5.9,1.3,55.8,109.4,94.6,14.8,2213.9,66.6,1.571,1.3,0.5,0.21,22,11,0.667,"A-Sun","VA",1.13324786520945,4
"115","DePaul",31,40.1,73.3,26.3,60.7,0.433,6.6,20.8,0.317,14.1,20.3,0.693,11.2,26.1,37.3,11.4,6.2,5,12.3,15.7,0.521,0.488,144.3,31.2,72,51.7,43.4,14.8,8.8,12.5,1.2,53.3,102.9,101.4,1.5,2207.7,71.1,1.434,0.9,0.5,0.232,15,16,0.484,"Big East","IL",0.139884374711503,2
"116","Nebraska",32,40.7,73.3,26,58.6,0.444,7,21.9,0.32,14.3,19.5,0.731,6.8,25.3,32,12.8,7.2,2.7,12.6,17.4,0.54,0.503,149.4,19.7,69.5,45.3,49,15.6,9.7,7.2,1.3,48.3,99,106.1,-7.1,2368.8,72.7,1.49,1,0.6,0.244,10,22,0.313,"Big Ten","NE",-0.562013181448719,1
"117","Central Arkansas",31,40.3,73.2,27.8,63.2,0.44,6.7,22.2,0.3,10.9,14.3,0.761,9.3,24.7,34,14.3,6.8,3.2,13.7,16.7,0.523,0.493,150.1,26.2,70.7,48.2,51.5,16.3,9.2,8,1.2,50.2,98.6,109.3,-10.7,2301.2,73.7,1.515,1,0.5,0.172,11,20,0.355,"A-Sun","AR",-1.40072127821644,1
"118","Tulane",29,40.5,73.1,25.3,57.3,0.442,8.1,22.1,0.365,14.4,19.1,0.756,6.4,24.4,30.9,13.5,7.9,3.3,10.5,16.1,0.551,0.512,156.3,19.4,68.2,44.8,53.4,13.7,11.2,10,1.3,53.3,103.4,101.4,2,2050.9,69.9,1.534,1.3,0.8,0.252,14,15,0.483,"AAC","LA",0.514626290288578,2
