"","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","TS%","eFG%","Total S%","ORB%","DRB%","TRB%","AST%","TOV%","STL%","BLK%","PPS","FIC40","ORtg","DRtg","eDiff","Poss","Pace","HOB","Ast/TO","Stl/TO","FT/FGA","W's","L's","Win %","Conference","State","TER","Cluster"
"298","UC Irvine",25,40,66.2,24.4,55.1,0.442,5,15.5,0.325,12.5,16.3,0.765,9.8,25.4,35.2,10.9,6,3.6,13.5,18,0.527,0.488,153.2,31,73.8,53.4,44.8,17.7,9,9.4,1.2,45.6,99.6,90.7,9,1661.9,66.5,1.448,0.8,0.4,0.227,15,10,0.6,"Big West","CA",0.235056924699335,3
"299","Fresno State",36,40.6,66.2,23.8,53.2,0.446,6.9,20.6,0.337,11.8,16.6,0.711,8.3,24.6,32.9,12,6.1,2.8,11.2,15.4,0.542,0.511,149.5,27.1,77.8,52.8,50.4,15.5,9.6,9.4,1.2,48.1,103.6,92.9,10.6,2302.2,63,1.504,1.1,0.5,0.221,23,13,0.639,"MWC","CA",0.806092224626296,3
"300","Campbell",29,40.3,66.2,24.9,54,0.46,6.3,19.9,0.318,10.1,14.9,0.68,6.8,24.3,31.2,13.9,6.2,2.3,10.4,13.8,0.542,0.519,145.8,22.4,75.8,49.8,56,14.6,9.6,7,1.2,49.8,102.4,96,6.5,1873.4,64.1,1.56,1.3,0.6,0.187,16,13,0.552,"Big South","NC",0.312384621564445,3
"301","Mount St. Mary's",30,40.3,66.1,25,56.4,0.443,5.9,17.2,0.345,10.2,14.8,0.688,10,23.7,33.6,13.3,5.7,4,12.9,15.7,0.521,0.496,147.6,30.4,72.4,51.3,53.1,16.9,8.6,10.8,1.2,47.8,99.6,98.3,1.3,1992.7,65.9,1.531,1,0.4,0.181,14,16,0.467,"NEC","MD",-0.407357787718497,3
"302","Loyola (MD)",30,40.3,66.1,24.9,56.3,0.442,6.9,21.6,0.319,9.4,13.8,0.684,7.7,23.5,31.2,14.9,7.9,2.7,12.1,15.3,0.526,0.504,144.5,24.2,74.9,49.3,60,16.2,11.7,8,1.2,49.3,98.3,97.6,0.7,2017.6,66.7,1.6,1.2,0.6,0.168,14,16,0.467,"Patriot","MD",-0.15158155962621,3
"303","Fordham",32,40.6,66.1,23,58.4,0.394,7.4,25,0.297,12.6,17.4,0.727,9.8,25.8,35.7,11.8,7.3,3.7,13.1,17.7,0.496,0.457,141.7,26.7,74.2,49.8,51.4,16.4,10.4,9.9,1.1,45.2,94.3,95.2,-1,2243.6,69.1,1.514,0.9,0.6,0.216,16,16,0.5,"A-10","NY",-0.401409503344257,3
"304","Central Michigan",30,40.2,65.9,23.1,56.5,0.409,7.7,22.7,0.341,11.9,17.2,0.692,8.4,23,31.4,11.5,6.3,3,13.6,19.9,0.509,0.478,144.3,24.1,68.6,45.9,49.7,17.3,9,9,1.2,39.9,94.6,110.4,-15.8,2090.9,69.4,1.497,0.8,0.5,0.211,7,23,0.233,"MAC","MI",-1.34718671884829,1
"305","Pacific",30,40.1,65.9,23.7,57,0.415,6.1,19.1,0.318,12.5,18.2,0.686,7.8,24.2,32,11.4,6.4,2.6,12.3,16.5,0.502,0.468,142,22.5,78.5,48.9,48.3,15.8,9.1,7.9,1.2,41.9,93.9,103.6,-9.8,2105.4,69.9,1.483,0.9,0.5,0.219,8,22,0.267,"WCC","CA",-1.29960044385438,1
"306","Maryland-Eastern Shore",27,40.3,65.9,23.4,57.9,0.404,7.7,24.6,0.314,11.4,17.7,0.644,10.2,23.2,33.4,12.4,10.1,2.3,15.4,16.8,0.497,0.471,136.2,28.8,71.6,49.3,53.2,18.9,14.2,6.8,1.1,44.1,92.5,93.2,-0.7,1922.9,70.7,1.532,0.8,0.7,0.197,11,16,0.407,"MEAC","MD",-0.728565143927413,3
"307","San Diego",31,40.5,65.8,24.8,58,0.428,5.5,16.4,0.335,10.7,14.9,0.715,9.3,25.7,35,9.9,5.1,3.7,12.4,15.9,0.506,0.476,147.8,26.7,74.8,50.6,40,16,7.4,8.6,1.1,43.1,96.4,98.5,-2.1,2117.9,67.5,1.4,0.8,0.4,0.184,15,16,0.484,"WCC","CA",-0.859427400160678,3
"308","Iowa State",35,40.3,65.6,24.3,56.3,0.431,6.7,21.2,0.315,10.4,15.2,0.683,9.1,22,31.1,14.7,8.5,3.1,13.9,18.3,0.517,0.491,142.9,27.8,71.9,49.2,60.4,17.9,12.6,9.8,1.2,46.3,96.3,91.8,4.5,2384.6,67.7,1.604,1.1,0.6,0.185,22,13,0.629,"Big 12","IA",-0.490633768957845,3
"309","Missouri",33,40.1,65.5,23.9,56.2,0.426,5.2,18.5,0.281,12.4,16.8,0.736,10.5,23.5,34,12.1,6.5,4.1,14.4,17.8,0.51,0.472,144.3,31.8,71.6,51.6,50.5,18.3,9.5,11.2,1.2,44.4,95.9,103.3,-7.3,2251.6,68,1.505,0.8,0.5,0.221,12,21,0.364,"SEC","MO",-0.669082300185024,1
"310","Sacramento State",29,40.2,65.4,24,55.7,0.431,6.8,18.8,0.359,10.7,15.8,0.678,7.3,23,30.3,11,6,2.8,11.2,17.2,0.518,0.492,146.8,21.7,73.1,46.6,45.8,15,8.9,8.1,1.2,42.2,97.4,104.4,-7,1948.8,66.9,1.458,1,0.5,0.192,11,18,0.379,"Big Sky","CA",-0.799944556418285,1
"311","San Diego State",32,40.4,65.4,23.8,55,0.432,6,16.9,0.354,11.8,17.1,0.692,9.5,24.7,34.3,11.9,7.5,4.8,12.8,17.5,0.518,0.487,147.8,29.4,74.1,52.1,50.2,16.8,11.2,14.4,1.2,47.9,98.2,87.2,10.9,2132.1,65.9,1.502,0.9,0.6,0.215,23,9,0.719,"MWC","CA",0.586005702779446,3
"312","Arizona State",31,40.6,65.4,25,60.4,0.414,6.9,22.5,0.307,8.5,12.8,0.661,9,25.6,34.7,13.4,6.7,4.2,11.9,18.1,0.492,0.471,138.2,24.6,70.5,47.5,53.4,15.2,9.6,12.4,1.1,46.1,94,96.7,-2.6,2155.5,68.5,1.534,1.1,0.6,0.14,14,17,0.452,"Pac-12","AZ",-0.758306565798607,3
"313","Western Michigan",31,40.4,65.4,23.5,56,0.421,8.5,25.4,0.332,9.8,14.1,0.7,8.6,23.1,31.7,10.3,5.3,2.3,13.7,16.8,0.522,0.496,145.3,25.9,69.6,47.8,43.7,17.9,7.8,6.5,1.2,39.4,96.2,110.6,-14.3,2106.1,67.2,1.437,0.8,0.4,0.176,8,23,0.258,"MAC","MI",-1.41261784696492,1
"314","Grambling State",32,40,65.4,23.4,57.6,0.407,5.1,16.2,0.315,13.5,19,0.71,10.1,24.8,34.9,10.9,6.6,3.3,14.2,18.3,0.491,0.451,143.2,27.9,69.5,48.5,46.7,17.6,9.3,9.1,1.1,41.3,92.1,100.1,-8,2270.4,71,1.467,0.8,0.5,0.234,12,20,0.375,"SWAC","LA",-1.19253132511807,1
"315","Holy Cross",31,40,65.2,23.9,57.8,0.414,5.8,17,0.343,11.5,16.3,0.708,9.6,23.2,32.7,10.2,5.9,3.8,12.5,16.9,0.497,0.464,146.6,27.5,72.5,49,42.5,16,8.7,9.9,1.1,41.7,95.5,103.5,-8,2116.9,68.3,1.425,0.8,0.5,0.199,9,22,0.29,"Patriot","MA",-1.23416931573774,1
"316","Duquesne",30,40.6,65.2,24.7,61.4,0.403,6.2,20.5,0.305,9.5,13.4,0.707,10.9,22.3,33.1,10,6.6,4.4,11.5,13.9,0.481,0.454,141.5,28.8,68.7,47.3,40.4,14.5,9.7,10.8,1.1,43.6,95.3,107.3,-12,2051.6,67.3,1.404,0.9,0.6,0.155,6,24,0.2,"A-10","PA",-1.46020412195883,1
"317","UNC Greensboro",32,40.4,65.1,23.4,54.4,0.431,7.3,21.4,0.342,10.9,15.1,0.721,10.4,24,34.3,12.1,6.4,1.6,13,15.3,0.528,0.498,149.4,32.7,75.8,54.2,51.5,17.4,9.9,5.8,1.2,45.9,101.1,100.9,0.2,2059.7,63.7,1.515,0.9,0.5,0.2,17,15,0.531,"SoCon","NC",0.35402261218412,3
"318","North Texas",32,40.2,65.1,22.6,51.1,0.442,7.7,21.6,0.357,12.3,18.8,0.651,10,23.2,33.2,11,6.6,2.8,11.4,15.8,0.542,0.517,145,32.1,75.8,53.7,48.9,15.9,10.6,8,1.3,47.9,105.8,90.6,15.2,1968.4,61.2,1.489,1,0.6,0.24,25,7,0.781,"C-USA","TX",1.50204149641228,4
"319","Florida A&M",30,40.6,65.1,24.4,57,0.428,4.6,15.1,0.302,11.6,16.5,0.705,8.7,23.2,31.9,12,6.3,3.1,12.5,17.7,0.502,0.468,143.6,26.4,67.1,47.2,49.1,16.2,9.2,8.5,1.1,41.6,95.4,100.8,-5.5,2046.8,67.3,1.491,1,0.5,0.204,13,17,0.433,"SWAC","FL",-1.16278990324688,1
"320","Navy",32,40.3,65,24.1,56,0.43,5.8,17.7,0.326,11.1,16.9,0.655,11,24.6,35.6,12.3,7.1,3.3,12.9,16,0.507,0.481,141,33,76.4,54.4,50.9,16.7,10.7,10.4,1.2,47.5,98.6,91.3,7.4,2107.7,65.4,1.509,1,0.5,0.198,21,11,0.656,"Patriot","MD",0.3361777590614,3
"321","Cal State Bakersfield",28,40,64.9,24.4,57.6,0.423,3.8,13.3,0.288,12.3,17.5,0.706,11.2,22.1,33.3,10,6.2,2.4,11.7,20.6,0.492,0.456,141.6,32.7,74.8,52.2,40.9,15.1,9.4,8.4,1.1,39.4,98.1,100.3,-2.2,1850.9,66.1,1.409,0.9,0.5,0.214,9,19,0.321,"Big West","CA",-0.520375190829042,3
"322","Hampton",28,40.3,64.8,22.4,56.1,0.399,5.8,19.6,0.293,14.2,20.3,0.7,8.1,25.5,33.6,10.4,5.2,4,12.5,18.4,0.493,0.451,139.3,22.8,69.1,46.4,46.5,16,7.4,10.3,1.2,39.9,92.3,99.1,-6.7,1964.6,69.6,1.465,0.8,0.4,0.253,9,19,0.321,"Big South","VA",-1.31149701260286,1
"323","Milwaukee",32,40,64.8,23.8,56.4,0.422,6.2,19.6,0.317,10.9,15.3,0.717,8.5,26.5,35,11.4,4.9,3.7,13.2,16.9,0.509,0.477,145.6,25.4,71.2,49.5,48,17.2,7.1,10.4,1.1,43.6,94.5,103.2,-8.7,2194.4,68.6,1.48,0.9,0.4,0.194,10,22,0.313,"Horizon","WI",-0.907013675154588,1
"324","Austin Peay",29,40.4,64.7,23.1,56.5,0.408,7.9,25,0.315,10.6,15,0.706,10.2,21.6,31.8,13.5,6.4,2,13.9,16.7,0.508,0.478,143,29.4,70.7,48.7,58.6,18,9.5,6.1,1.1,42.3,95.9,102.5,-6.6,1954.6,66.7,1.586,1,0.5,0.188,12,17,0.414,"OVC","TN",-1.31149701260285,1
"325","Penn State",31,40.5,64.6,23.9,55.2,0.432,8,23.5,0.342,8.8,12,0.735,8.8,25.6,34.5,11.9,5.3,2.2,11.8,15.4,0.53,0.505,150.8,28.3,76.8,53.4,49.7,16.2,8.2,6.2,1.2,46,100.9,101.5,-0.6,1985.1,63.3,1.497,1,0.4,0.16,14,17,0.452,"Big Ten","PA",0.235056924699331,2
"326","Tarleton State",31,40.2,64.6,22.7,54.3,0.419,5,16.5,0.305,14.1,18.6,0.754,8.6,20.3,29,11.2,7.6,2.2,12.1,18.1,0.511,0.465,147.9,26.8,68.3,46.7,49.4,16.1,11.5,7.4,1.2,40.5,96.9,98,-1.1,2066.8,66.4,1.494,0.9,0.6,0.259,14,17,0.452,"WAC","TX",-0.686927153307739,3
"327","Southern Mississippi",33,40.2,64.4,24.3,56.6,0.429,5.4,17.2,0.312,10.5,15.3,0.688,7.9,24.5,32.4,12.3,5,2.8,13.3,16,0.504,0.476,142.9,23.2,72.1,47.7,50.6,17.2,7.2,8.2,1.1,41,93.2,108.3,-15.1,2282.2,68.8,1.506,0.9,0.4,0.186,7,26,0.212,"C-USA","MS",-1.84684260628438,1
"328","Idaho State",30,40.1,64.4,22.4,53.6,0.419,7.1,22.8,0.31,12.4,18.2,0.684,9.3,22.3,31.6,10.4,4.5,2.2,13.8,18.2,0.517,0.484,141.3,28,73.3,49.7,46.5,18.2,6.8,6.3,1.2,37.5,96.6,107.3,-10.8,1999.9,66.4,1.465,0.8,0.3,0.232,7,23,0.233,"Big Sky","ID",-1.40666956259068,1
"329","San Jose State",31,40.1,64.3,23.7,55.4,0.427,8.8,25,0.352,8.1,12.4,0.658,7.5,22.6,30,13,5.2,3.2,13.2,16.3,0.525,0.507,143.8,22.4,70.9,46.1,55,17.7,7.8,8.2,1.2,42.5,96.1,108.1,-12,2074.4,66.8,1.55,1,0.4,0.147,8,23,0.258,"MWC","CA",-1.53753181882394,1
"330","Northeastern",31,40.3,64.3,22.9,52.4,0.437,6.8,21.2,0.32,11.8,16,0.734,7.9,23.5,31.4,11.4,4.7,2.7,14,15.2,0.536,0.501,149.1,26.3,76.8,51.8,49.6,18.9,7.1,7.7,1.2,41.4,97.1,104.4,-7.3,2052.5,65.7,1.496,0.8,0.3,0.225,9,22,0.29,"CAA","MA",-1.09735877513024,1
"331","Northern Illinois",30,40.1,64.1,23,54.9,0.419,5.8,18.3,0.318,12.3,18.2,0.674,7.6,23.1,30.7,11.2,6.3,2.7,13.7,20.4,0.505,0.472,141.1,22.8,71.2,46.7,48.8,17.7,9,7.9,1.2,37.3,92.1,102.8,-10.7,2087.8,69.4,1.488,0.8,0.5,0.224,9,21,0.3,"MAC","IL",-1.50184211257851,1
"332","Southern Illinois",31,40,64,23,51.6,0.446,7.7,21.8,0.354,10.3,15,0.69,6.7,22.7,29.4,12,5.5,2.1,11.4,15.3,0.545,0.52,148.9,22.2,77.6,49.5,52.2,16.3,8.7,6,1.2,44,101.2,97,4.2,1961.5,63.3,1.522,1.1,0.5,0.2,16,15,0.516,"MVC","IL",-0.18132298149741,3
"333","William & Mary",32,40.4,63.9,22.6,56.2,0.402,6.8,21.9,0.308,11.9,16.8,0.705,9.3,24.5,33.8,11.5,6.6,3,16.2,16.8,0.497,0.462,141.5,26.7,73.2,49.5,50.7,20.2,9.3,8.5,1.1,39,89.9,104.6,-14.7,2274.4,70.3,1.507,0.7,0.4,0.211,5,27,0.156,"CAA","VA",-1.87658402815558,1
"334","Butler",33,40.4,63.8,22.7,54.5,0.416,6.9,22.8,0.305,11.5,16.5,0.696,8.3,22.9,31.2,11,5.2,2.4,11.9,16.7,0.512,0.48,141.7,25.7,72.6,48.8,48.5,16.1,7.8,7,1.2,40.2,96.4,101,-4.7,2186.1,65.6,1.485,0.9,0.4,0.211,14,19,0.424,"Big East","IN",-0.996237940768179,1
"335","American University",32,40.3,63.5,24.4,54.3,0.45,5,15.2,0.331,9.6,13.9,0.694,7.5,22.1,29.7,12.2,6.5,3.1,13.4,14.9,0.521,0.496,147.4,24.4,72,48.2,49.9,18,9.8,8.3,1.2,42.3,95.2,106.4,-11.2,2133.7,66.1,1.499,0.9,0.5,0.177,10,22,0.313,"Patriot","DC",-1.28175559073166,1
"336","Bethune-Cookman",30,40.3,63.4,23.7,56.8,0.416,4.8,14.3,0.336,11.2,16.3,0.689,9.1,21.6,30.6,10.7,7.9,2.4,13.4,17.1,0.491,0.459,144.1,26.7,69.7,47.2,45.4,17.2,11.6,7.1,1.1,38.7,92.4,101.4,-9,2056.4,68,1.454,0.8,0.6,0.198,9,21,0.3,"SWAC","FL",-1.43641098446187,1
"337","Radford",29,40.5,63.2,23,55.4,0.414,6.9,22.6,0.307,10.3,15.4,0.669,9.4,22.4,31.9,10.9,6.6,1.5,13.8,17.9,0.503,0.477,139,28.2,74.7,50.2,47.4,18,10,4.7,1.1,37.9,94.6,100.9,-6.3,1937.5,66,1.474,0.8,0.5,0.186,11,18,0.379,"Big South","VA",-1.18063475636959,1
"338","California",32,40.4,63.1,23.6,56.2,0.42,5.5,17.8,0.308,10.3,14.2,0.727,8.3,25.9,34.3,10.7,4.9,2.6,11.3,16.5,0.501,0.469,145.5,24.8,77.2,51,45.2,15.2,7.4,7.2,1.1,41.6,95.8,100.4,-4.6,2106.6,65.2,1.452,1,0.4,0.184,12,20,0.375,"Pac-12","CA",-0.63339259393959,1
"339","N.J.I.T.",29,40.5,63,22.6,55.3,0.409,6.4,19.6,0.327,11.3,17.2,0.659,7.9,25.6,33.4,10.1,6.1,3.7,12.8,15.8,0.496,0.467,139.5,22.7,73.5,48.2,44.7,16.8,8.8,10.4,1.1,40.7,91.8,102,-10.3,1989.9,67.8,1.447,0.8,0.5,0.205,11,18,0.379,"AM East","NJ",-0.984341372019697,1
"340","Delaware State",28,40.2,62.8,22.6,56,0.404,6,18.6,0.325,11.5,17.1,0.672,9.5,24.5,34,9.7,7.3,4,17.4,18,0.49,0.458,140.1,27,67.2,47.5,42.8,21.4,10.1,12.3,1.1,36.6,87.4,102.4,-15,2009.4,71.4,1.428,0.6,0.4,0.205,2,26,0.071,"MEAC","DE",-2.01339456876308,1
"341","Maine",29,40,62.4,23.6,57,0.414,6.8,22,0.308,8.4,11.9,0.71,8.7,22.2,30.8,13.3,7.2,2.8,12.7,17.4,0.498,0.473,143.2,25.2,72.1,47.3,56.4,16.8,10.7,7.9,1.1,42.3,93.3,106.3,-13,1941.5,66.9,1.564,1,0.6,0.148,6,23,0.207,"AM East","ME",-1.1211519126272,1
"342","Virginia",35,40.1,62.4,23.3,52,0.449,5,15.6,0.323,10.7,14.6,0.73,8.1,22.2,30.2,14.1,5.7,4.3,9.7,13.7,0.529,0.497,150.2,26.9,72.7,50,60.3,14.1,9.3,12.9,1.2,50,102.6,98.8,3.8,2129.2,60.7,1.603,1.5,0.6,0.205,21,14,0.6,"ACC","VA",0.532471143411294,3
"343","Chicago State",32,40.1,62.1,21.9,56.1,0.39,7.6,24.5,0.31,10.8,16.4,0.655,11.1,21.6,32.8,9.6,5.6,2.3,15.1,19.8,0.486,0.457,135.5,31.3,68.2,48.7,44,19.1,8.2,6.5,1.1,33.6,91.5,109.6,-18.1,2172.5,67.7,1.44,0.6,0.4,0.192,7,25,0.219,"WAC","IL",-1.98960143126612,1
"344","Albany",31,41.4,61.8,23,56.2,0.41,5.9,18.2,0.323,9.9,14.1,0.704,8.4,22.5,30.9,9.4,6.7,2.5,12.4,18,0.492,0.462,143.8,25.1,74.2,48.5,40.9,16.4,10.1,7.5,1.1,35.7,92.6,98.6,-6,2070.5,64.5,1.409,0.8,0.5,0.176,13,18,0.419,"AM East","NY",-1.29365215948014,1
"345","Central Connecticut State",32,40.5,61.8,21.6,54.8,0.393,7.3,21.5,0.342,11.3,16,0.708,8.3,21.9,30.2,10.6,6.2,2.2,13.8,16.1,0.495,0.46,144.3,24.6,68.6,46.1,49.3,18.1,9.2,6.3,1.1,36.1,91.2,106.5,-15.3,2168,66.9,1.493,0.8,0.5,0.206,8,24,0.25,"NEC","CT",-2.00744628438884,1
"346","Green Bay",30,40,61.7,22.3,53.1,0.419,5.2,18.4,0.282,12,16.8,0.714,8.6,20.6,29.2,10.7,5,2.8,12.9,15.4,0.505,0.468,141.6,26.9,72.6,48.4,48.2,17.5,7.6,7.9,1.2,37.5,94.6,105.6,-11,1958.7,65.3,1.482,0.8,0.4,0.226,5,25,0.167,"Horizon","WI",-1.82899775316166,1
"347","Cal State Northridge",30,40.4,61.6,22.6,56.1,0.403,5.1,16.9,0.303,11.2,16.5,0.682,9.4,21.6,31,9.2,7.2,2.5,12.3,18.7,0.481,0.448,138.8,26.5,68.4,46.2,40.6,16.1,10.7,7.5,1.1,35.8,91.8,106.3,-14.4,2010.9,66.3,1.406,0.7,0.6,0.2,7,23,0.233,"Big West","CA",-1.18063475636959,1
"348","Pittsburgh",32,39.9,61.5,21.1,50.9,0.414,5.4,17.1,0.314,14,20.1,0.696,9.5,23.4,32.9,11,5.4,3.8,13.6,15.3,0.509,0.467,142.4,30.2,75.1,52.6,52.1,18.4,8.3,12.4,1.2,41.9,95,105.1,-10.1,2072.8,64.9,1.521,0.8,0.4,0.274,11,21,0.344,"ACC","PA",-0.538220043951757,1
"349","Cal Poly",28,40.6,61.5,21.2,51.8,0.409,5.3,18.1,0.29,13.9,19,0.728,8.9,25.1,34,10.5,4.7,2.4,14.7,19.4,0.505,0.46,142.7,27.6,74.1,51.5,49.7,19.5,7,7,1.2,35.9,91.9,100.7,-8.8,1872.4,66,1.497,0.7,0.3,0.268,7,21,0.25,"Big West","CA",-1.02003107826513,1
"350","Alabama A&M",30,40.7,61.4,21.9,57.8,0.379,3.9,14.4,0.271,13.8,19.4,0.713,10.6,25.8,36.4,9.5,7,3.2,13.6,16.1,0.459,0.412,136.3,28.2,69.1,48.5,43.4,16.8,10.1,8.8,1.1,38.3,87.9,95.9,-8,2096.3,68.7,1.434,0.7,0.5,0.239,12,18,0.4,"SWAC","AL",-1.38882470946796,1
"351","Merrimack College",30,40.3,61.4,22.4,53.3,0.421,7.1,21.6,0.331,9.4,14,0.675,7.1,20.5,27.5,11.5,9,4,11.9,15.9,0.512,0.488,142.7,21.8,64.9,43,51.4,16.6,13.8,11.4,1.2,43,94.4,98.9,-4.5,1952.9,64.6,1.514,1,0.8,0.177,14,16,0.467,"NEC","MA",-0.294340384607952,1
"352","Lamar",29,39.9,61.3,22.9,57.1,0.401,5.2,17.5,0.299,10.3,14.9,0.688,10.4,23,33.4,11.1,5.8,3,14.6,18.8,0.478,0.447,138.9,29.5,69.6,48.9,48.3,18.5,8.6,9.1,1.1,36.5,90,107.1,-17.1,1976.6,68.3,1.483,0.8,0.4,0.18,2,27,0.069,"WAC","TX",-1.99554971564036,1
"353","Jackson State",30,40.2,61,23.1,56.7,0.408,5.2,17.2,0.3,9.5,15,0.634,10.6,23.5,34.1,10.8,6.1,3.9,13.2,17.1,0.477,0.453,134.2,30.8,73,51.1,46.8,17.1,9.1,10.2,1.1,40,91.3,98.1,-6.7,2002.9,66.5,1.468,0.8,0.5,0.168,11,19,0.367,"SWAC","MS",-1.16873818762112,1
"354","Evansville",30,40.8,59.2,21,52.7,0.398,8.2,24.8,0.33,9.1,12.8,0.708,4.4,22,26.4,10.5,5.9,2,11.2,14.7,0.503,0.475,143.6,13.7,78.8,43.9,50.2,16,9,5.8,1.1,35,90,107.6,-17.6,1972.5,64.4,1.502,0.9,0.5,0.172,6,24,0.2,"MVC","IN",-1.98365314689188,1
"355","Air Force",29,40,59,21.6,49.6,0.436,7.2,21.6,0.333,8.6,13.3,0.649,5.5,19.9,25.4,12.5,5.4,3,13.5,18,0.528,0.509,141.8,18.8,71.2,44.4,57.7,19.4,8.5,9.1,1.2,35.9,92.5,103.5,-11,1850.9,63.9,1.577,0.9,0.4,0.174,11,18,0.379,"MWC","CO",-1.82304946878743,1
"356","South Florida",31,39.9,57.5,21.6,57.7,0.374,4.5,17.6,0.252,9.8,14.7,0.666,10.6,23.9,34.5,10.9,6.2,3.7,12.5,17.1,0.444,0.413,129.3,28.9,74,50,50.6,16.2,9.4,11.9,1,37.1,86.3,97.5,-11.2,2063.1,66.7,1.506,0.9,0.5,0.169,8,23,0.258,"AAC","FL",-1.74572177192232,1
"357","Eastern Illinois",31,40,56.3,20.1,50.5,0.398,6,18.3,0.326,10.2,15.9,0.638,6.8,21.5,28.4,11.8,6.3,3,16,14.5,0.485,0.457,136.1,21.2,66.8,44,58.9,21.6,9.5,9.2,1.1,33.3,84.1,106.2,-22.1,2075.6,67,1.589,0.7,0.4,0.201,5,26,0.161,"OVC","IL",-2.86994751865352,1
"358","IUPUI",29,40,52.4,19.2,50.6,0.38,5.1,17.6,0.292,8.9,13.3,0.667,9.3,20.7,30,10.4,5.7,2.6,16.6,17.7,0.461,0.43,133.8,29.5,69.1,48.7,54.4,22.6,8.9,8.4,1,27.6,81.7,104.6,-22.9,1861.7,64.2,1.544,0.6,0.3,0.176,3,26,0.103,"Horizon","IN",-2.85210266553081,1
